Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
Bok choy,Canned,2.2941,per pound,0.7408,0.3968,pounds,0.6591,Orange Concentrate,Juice,10.4035,per pint,1,8,fluid ounces,1.3065
Bok choy,Fresh,1.4789,per pound,2.4692,0.3748,pounds,0.7352,Papaya,Juice,2.4721,per pint,0.93,8,fluid ounces,0.8449
Brussels sprouts,Canned,2.3702,per pound,0.8818,0.3858,pounds,0.9965,Peaches,Fresh,1.5624,per pound,0.7,0.332,pounds,0.891
"Cabbage, napa",Frozen,3.2802,per pound,1.0335,0.3638,pounds,0.9394,Peaches in Juice,Dried,1.1572,per pound,1,0.3485,pounds,0.5383
"Cabbage, savoy",Fresh,1.7859,per pound,0.78,0.3307,pounds,0.8033,Peaches in Syrup,Juice,0.8338,per pint,1,8,fluid ounces,0.3778
"Chard, Swiss",Canned,1.3164,per pound,0.963,0.2756,pounds,0.535,Pears,Fresh,1.4375,per pound,0.63,0.3735,pounds,0.6729
"Chard, Swiss",Canned,2.1538,per pound,0.92,0.3197,pounds,0.7018,Pears in Juice,Frozen,7.5854,per pound,1,0.362,pounds,1.1669
Chayote,Dried,1.2604,per pound,0.8466,0.2866,pounds,0.3825,Pears in Syrup,Fresh,2.2785,per pound,0.97,0.3685,pounds,0.7904
Dandelion greens,Canned,3.4338,per pound,0.8113,0.3527,pounds,0.3722,Pineapple,Frozen,2.3503,per pound,1,0.352,pounds,1.2274
Endive,Dried,1.2741,per pound,0.89,0.2646,pounds,0.5636,Pineapple in Juice,Fresh,2.1102,per pound,0.68,0.337,pounds,1.3748
Fennel,Fresh,1.1689,per pound,0.9702,0.2976,pounds,1.08,Pineapple in Syrup,Canned,3.7058,per pound,1,0.356,pounds,1.2012
Fennel,Fresh,2.3974,per pound,0.65,0.1543,pounds,0.6743,Pineapple Juice,Juice,1.9472,per pint,0.87,8,fluid ounces,0.759
Ginger root,Frozen,2.4941,per pound,1.05,0.3417,pounds,0.7101,Pineapple Concentrate,Fresh,2.24,per pound,1,0.368,pounds,1.1663
Jalapeños,Fresh,1.2504,per pound,0.9,0.2094,pounds,0.9699,Plums,Canned,2.192,per pound,0.67,0.3365,pounds,1.4324
Leeks,Frozen,1.1165,per pound,1.16,0.1523,pounds,1.5009,Prunes,Juice,0.717,per pound,0.53,8,fluid ounces,0.4533
"Mushrooms, shiitake",Fresh,2.6184,per pound,2.5397,0.3354,pounds,0.646,Prune Juice,Fresh,1.7509,per pound,1,0.3445,pounds,0.912
"Mushrooms, portobello",Fresh,1.2037,per pound,0.772,0.2928,pounds,0.638,Pomegranate,Canned,1.8771,per pound,0.68,0.375,pounds,1.2142
Mustard greens,Fresh,1.8362,per pound,0.77,0.352,pounds,0.8528,Pomegranate Juice,Juice,7.1133,per pint,1,0.355,pounds,1.0932
Okra,Canned,1.7324,per pound,1.097,0.3307,pounds,0.5141,Raspberries,Fresh,1.3243,per pound,1,0.34,pounds,0.6278
Parsnips,Fresh,3.0881,per pound,0.82,0.2745,pounds,0.9373,Strawberries,Juice,0.8256,per pint,1,8,fluid ounces,0.3745
"Peas, snap",Fresh,1.4576,per pound,0.79,0.4418,pounds,0.9295,Watermelon,Frozen,2.6259,per pound,0.92,0.36,pounds,0.9936
